일자,지역,고객사구분,제품,수량,단가,매출액,담당자,수주경로,비고
2026-08-03,수도권,신규,SC-100,12000,1850,22200000,김민준,파트너소개,시제품 물량
2026-08-04,수도권,기존,SC-100,40000,1790,71600000,김민준,직접영업,분기 정기 물량
2026-08-05,영남,기존,SC-200,8000,2450,19600000,박지훈,직접영업,
2026-08-07,수도권,기존,SafeManager,1,48000000,48000000,이하늘,직접영업,3년 라이선스
2026-08-10,호남,신규,SC-100,5000,1900,9500000,박지훈,전시회,단가 협의 진행
2026-08-11,해외,기존,SC-200,15000,2380,35700000,이하늘,파트너소개,파트너 A사 경유
2026-08-12,수도권,기존,SC-100,28000,1790,50120000,김민준,직접영업,
2026-08-14,충청,신규,SC-100,3000,1950,5850000,박지훈,웹문의,소량 시험 발주
2026-08-18,해외,신규,SafeManager,1,52000000,52000000,이하늘,파트너소개,파트너 A사 경유
2026-08-19,수도권,기존,SC-200,11000,2450,26950000,김민준,직접영업,
2026-08-20,영남,기존,SC-100,22000,1810,39820000,박지훈,직접영업,
2026-08-21,수도권,기존,컨설팅,1,32000000,32000000,이하늘,직접영업,라인 적용 컨설팅
2026-08-24,호남,기존,SC-100,9000,1850,16650000,박지훈,직접영업,
2026-08-25,해외,기존,SC-200,18000,2380,42840000,이하늘,파트너소개,파트너 A사 경유
2026-08-26,충청,기존,SC-100,14000,1830,25620000,박지훈,직접영업,
2026-08-27,수도권,신규,SC-200,4000,2500,10000000,김민준,전시회,단가 협의 진행
2026-08-28,수도권,기존,SafeManager,1,48000000,48000000,김민준,직접영업,갱신 계약
2026-08-31,영남,기존,SC-100,31000,1790,55490000,박지훈,직접영업,월말 마감 물량
