order_id,date,customer,product,quantity,unit_price,total
1,2026-06-18,Customer_8,Americano,1,4500,4500
2,2026-06-13,Customer_18,Latte,2,5000,10000
3,2026-04-11,Customer_1,Americano,5,4500,22500
4,2026-02-26,Customer_20,Americano,2,4500,9000
5,2026-02-27,Customer_14,Americano,5,4500,22500
6,2026-05-18,Customer_1,Latte,4,5000,20000
7,2026-03-18,Customer_5,Latte,4,5000,20000
8,2026-01-12,Customer_13,Latte,3,5000,15000
9,2026-03-18,Customer_2,Americano,3,4500,13500
10,2026-01-22,Customer_3,Sandwich,5,6500,32500
11,2026-06-21,Customer_19,Bagel,3,4200,12600
12,2026-01-17,Customer_10,Latte,1,5000,5000
13,2026-01-22,Customer_9,Americano,2,4500,9000
14,2026-02-21,Customer_12,Sandwich,3,6500,19500
15,2026-06-12,Customer_20,Latte,3,5000,15000
16,2026-06-17,Customer_6,Latte,5,5000,25000
17,2026-03-27,Customer_8,Sandwich,4,6500,26000
18,2026-02-11,Customer_11,Croissant,1,3800,3800
19,2026-01-16,Customer_19,Sandwich,3,6500,19500
20,2026-06-25,Customer_13,Croissant,2,3800,7600
21,2026-03-14,Customer_8,Sandwich,2,6500,13000
22,2026-03-28,Customer_14,Bagel,5,4200,21000
23,2026-03-17,Customer_5,Bagel,4,4200,16800
24,2026-01-11,Customer_4,Bagel,4,4200,16800
25,2026-06-23,Customer_20,Latte,2,5000,10000
26,2026-04-24,Customer_17,Americano,4,4500,18000
27,2026-01-13,Customer_18,Croissant,5,3800,19000
28,2026-01-19,Customer_14,Croissant,3,3800,11400
29,2026-01-18,Customer_17,Latte,4,5000,20000
30,2026-01-19,Customer_17,Latte,5,5000,25000
31,2026-02-21,Customer_6,Bagel,2,4200,8400
32,2026-01-20,Customer_16,Bagel,5,4200,21000
33,2026-03-19,Customer_8,Americano,1,4500,4500
34,2026-05-12,Customer_3,Americano,2,4500,9000
35,2026-05-14,Customer_5,Sandwich,1,6500,6500
36,2026-02-18,Customer_17,Sandwich,5,6500,32500
37,2026-02-27,Customer_7,Bagel,4,4200,16800
38,2026-06-21,Customer_15,Croissant,4,3800,15200
39,2026-01-17,Customer_8,Bagel,4,4200,16800
40,2026-01-28,Customer_18,Americano,3,4500,13500
41,2026-02-10,Customer_3,Latte,5,5000,25000
42,2026-01-11,Customer_11,Americano,2,4500,9000
43,2026-02-18,Customer_16,Americano,5,4500,22500
44,2026-02-28,Customer_19,Latte,5,5000,25000
45,2026-04-23,Customer_7,Sandwich,2,6500,13000
46,2026-06-23,Customer_12,Americano,1,4500,4500
47,2026-04-11,Customer_4,Sandwich,4,6500,26000
48,2026-06-20,Customer_4,Americano,4,4500,18000
49,2026-02-27,Customer_15,Latte,2,5000,10000
50,2026-02-18,Customer_15,Latte,4,5000,20000
